species,taxon_name_original,taxname_source,totalinstudy,authority,family,subfamily,size,alltraits,bodylength_mm,flightless,trophicgroup,above_on_below,trophicgroupdetail,food,usual_habitat_adult,usual_habitat_larvae,introduced,Zoharas_MSP,NOTES,Count_2010,Count_2012,Wing_Type,Feeding_Group,pronotum_width,antennae_length,Colour,notes:
,Neocarenum sp4,NA,2,,Carabidae,Scaritini,3,notall,,yes,carnivore,below,carnivore,NA,fossorial/nocturnal/sandy soil,,,,,,,,,,,,
Carneodon pecuarius,Neodon pecuarius,AFD,1,,Scarabaeidae,,,notall,,,,,,,,,,,,,,,,,,,
Nyctozoilus impunctatus,,AFD,1,,Tenebrionidae,Cyphaleini,2,notall,,yes,scavenger,concealed places/nocturnal,scavenger,dead plant material,concealed places/nocturnal,subterranean ?,,,,,,,,,,,
,Nyctozoilus sp.,NA,101,,Tenebrionidae,Cyphaleini,3,all,30,yes,scavenger,concealed places/nocturnal,scavenger,dead plant material,concealed places/nocturnal,subterranean ?,,10,"smooth thorax, long abdomen, smooth pronotum - abdomen comes to abrupt end",,,absent,predatory,9,6,black shine,large eyes
Oectosis cylindrica,,AFD,2,,Tenebrionidae,,,notall,,,scavenger,,scavenger,,,,,,,,,,,,,,
Omorgus (Omorgus) elderi,Omorgus elderi,AFD,201,Blackburn,Trogidae,,3,all,14,yes,scavenger,deadstuff dung and fungi,necrophage,dead animals,carcasses/skins/dung,in soil,,33,shoveling head protruding bump-patterned elitra,,,present (large),,5.5,0,brown,shovelling head
,Oophthalmus sp,NA,122,,Curculionidae,Entiminae,1,all,10,yes,herbivore,above,herbivore,,,,,"7,8,46,64,104","grey body slight bumps, black eyes, snout at 45 degrees to head, feint ridges on elytra",,,absent,,3,4,black,
,Paracardiophorus sp.,NA,1,Carter,Elateridae,Cardiophorinae,1,notall,,no,omnivore,concealed places/nocturnal,omnivore,plant material/insect larvae,concealed places/nocturnal,in soil or decaying logs,,,,,,,,,,,
Adotela apicalis,Parroa apicalis,AFD,1,,,,,notall,,,,,,,,,,,,,,,,,,,
Pelororhinus facetus,,AFD,13,Pascoe,Curculionidae,,1,notall,5,no,herbivore,,herbivore,,,,,90,"small weevil, tiger pattern on body",,,present (large),pollinator,1,1,patterned,textured
,Pelororhinus sp,NA,5,,Curculionidae,,,notall,,,herbivore,,herbivore,,,,,,,,,,,,,,
Philophlaeus australis,Philophloeus australis,AFD,3,,Carabidae,Lebiini,1,all,3.5,no,carnivore,on,carnivore,,under bark,,,61,tiger beetle like irridescent elytra long legs thorax diamond shape,,,present (large),,1,1,,"fur on body, large eyes"
Philoscaphus costalis,,AFD,1251,Macleay,Carabidae,Scaritini,3,all,27,yes,carnivore,above,carnivore,,fossorial/nocturnal/sandy soil,,,27,textured abdomen,,,absent,predatory,10,9,black,large eyes
,Phoracantha lacrymosa,not_found,1,(schreibers),Cerambycidae,Cerambycinae,,notall,,no,herbivore,,herbivore,,,,,,,,,,,,,,
Phoracantha obscura,,AFD,2,Donovan,Cerambycidae,Cerambycinae,,notall,,no,herbivore,,herbivore,,,,,,,,,,,,,,
Phyllotocus macleayi,,AFD,1,,Scarabaeidae,Melolonthinae,1,notall,,no,herbivore,,herbivore,adult flowers/larvae humus or root feeders,,in soil,,,,,,,,,,,
,Phyllotocus sp1,NA,11,,Scarabaeidae,Melolonthinae,1,notall,,no,herbivore,,herbivore,adult flowers/larvae humus or root feeders,,in soil,,,,,,,,,,,
Physoloesthus pallidus,,AFD,2,,Carabidae,Licininae,,notall,,,carnivore,,carnivore,,,,,,,,,,,,,,
,Platycoelus sp,NA,1,,Carabidae,Pterostichini,,notall,,no,carnivore,,carnivore,,,,,,,,,,,,,,
Rhytiphora obliqua,Platyomopsis obliqua,AFD,6,Donovan,Cerambycidae,Cerambycinae,,notall,,no,herbivore,,herbivore,,,,,,,,,,,,,,
Rhytiphora pubiventris,Platyomopsis pubiventris,AFD,11,,Cerambycidae,Cerambycinae,,notall,,no,herbivore,,herbivore,,,,,,,,,,,,,,
Polyphrades fortis,,AFD,17,Blackburn,Curculionidae,,2,all,15,yes,herbivore,above,herbivore,,,,,"43, 72,82,114",large black nose at 45angle long legs and internal bump pattern over elytra,,,absent,,5,5,black,
,Polyphrades sp,NA,26,,Curculionidae,,1,all,9,yes,herbivore,above,herbivore,,,,,,,,,,,,,,
,Psapharus sp,NA,4,,Curculionidae,,,notall,,,herbivore,,herbivore,,,,,,,,,,,,,,
Pseudotetralobus fortnumi,,AFD,1,"Schwarz, 1902",Elateridae,Agrypninae,3,all,40,no,omnivore,on,omnivore,larvae feed on termites,concealed places/nocturnal,in termite mounds or logs,,52,large black click beetle (compare with MSP49),,,present (large),,10,9,brown - red,
Ptomaphila lacrymosa,,AFD,1,Schreibers,Silphidae,,,notall,,,,,,,,,,,,,,,,,,,
Rhinaria tibialis,,AFD,11,Lea,Curculionidae,,,notall,,,herbivore,,herbivore,,,,,,,,,,,,,,
Rhytiphora intertincta,,AFD,1,,Cerambycidae,Lamiinae,,notall,,no,herbivore,,herbivore,,,,,,,,,,,,,,
Rhytisternus cyathoderus,,AFD,4,,Carabidae,Pterostichini,2,all,12,no,carnivore,wetriparian,carnivore,NA,hygrophilus,,,"28, 37","small, brown long body, visable jaws (superficially like carabid), ridged elytra (compare with MSP37)",,,present (large),predatory,4.5,4,brown,large eyes
Saragus frenchi,,AFD,16,Carter,Tenebrionidae,Heleini,2,all,12,yes,scavenger,concealed places/nocturnal,scavenger,dead plant material,concealed places/nocturnal,subterranean,,30,Round backs smooth black (smaller beetles),,,present (large),detritivore,8,5,black shine,
Saragus pascoei,,AFD,382,Macleay,Tenebrionidae,Heleini,2,all,24,yes,scavenger,concealed places/nocturnal,scavenger,dead plant material,concealed places/nocturnal,subterranean,,2,Round backs smooth black (larger beetles),,,absent (elytra open but no wings),,16,6,dark brown ,
Scaraphites lenaeus,,AFD,200,Westwood,Carabidae,Scaritini,3,all,39,yes,carnivore,below,carnivore,NA,fossorial/nocturnal/sandy soil,,,"13,45","big jaws, abdomen tips off to a point",,,absent,predatory,15,9,black shine,
,Sciton sp1,NA,3,,Scarabaeidae,Melolonthinae,2,notall,,no,,,,larvae humus or roots,,in soil,,,,,,,,,,,
Semanopterus angustatus,,AFD,20,Blackburn,Scarabaeidae,Dynastinae,2,all,15,no,herbivore,below,herbivore,larvae humus or roots,subterranean and burrowing,subterranean and burrowing,,,,,,,,,,,
Simarus elongatus,,AFD,15,,Tenebrionidae,,1,notall,9,,scavenger,,scavenger,,,,,,,,,,,,,,
