original_name,updated_name,resprouting_binomial,seeding_binomial,min_maturity_primary,avg_maturity_primary,bin_maturity_primary,min_maturity_secondary,avg_maturity_secondary,resprouting_binomial_score,seeding_binomial_score,min_maturity_primary_score,avg_maturity_primary_score,bin_maturity_primary_score,min_maturity_secondary_score,avg_maturity_secondary_score,score_GM
Guioa semiglauca,Guioa semiglauca,TRUE,FALSE,NA,NA,NA,NA,NA,0.2,1,NA,NA,NA,NA,NA,0.4472135955
Gunniopsis,Gunniopsis,NA,NA,NA,NA,1--5,NA,NA,NA,NA,NA,NA,0.2,NA,NA,0.2
Hakea,Hakea,NA,NA,NA,NA,5--20,NA,NA,NA,NA,NA,NA,1,NA,NA,1
Hakea erinacea,Hakea erinacea,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
Hakea rugosa,Hakea rugosa,TRUE,TRUE,NA,NA,5--20,NA,NA,0.2,0.2,NA,NA,1,NA,NA,0.3419951893
Hakea ruscifolia,Hakea ruscifolia,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Hakea teretifolia,Hakea teretifolia,TRUE,TRUE,2.965116,NA,5--20,NA,NA,0.2,0.2,0.2,NA,1,NA,NA,0.2990697562
Hakea trifurcata,Hakea trifurcata,TRUE,TRUE,NA,4,NA,NA,NA,0.2,0.2,NA,0.2,NA,NA,NA,0.2
Hardenbergia,Hardenbergia,NA,NA,NA,NA,1--5,NA,NA,NA,NA,NA,NA,0.2,NA,NA,0.2
Harmogia densifolia,Harmogia densifolia,TRUE,TRUE,4,NA,1--5,NA,NA,0.2,0.2,0.2,NA,0.2,NA,NA,0.2
Helichrysum alpinum,Ozothamnus alpinus,TRUE,TRUE,5,NA,1--5,NA,NA,0.2,0.2,0.2,NA,0.2,NA,NA,0.2
Helichrysum bracteatum,Xerochrysum bracteatum,FALSE,TRUE,NA,0.75,1,NA,NA,1,0.2,NA,0.2,0.2,NA,NA,0.2990697562
Helichrysum scorpioides,Coronidium scorpioides,TRUE,TRUE,1,NA,1--5,0.5,NA,0.2,0.2,0.2,NA,0.2,0.2,NA,0.2
Helipterum albicans,Leucochrysum albicans,FALSE,NA,NA,NA,0--1,NA,NA,1,NA,NA,NA,0.2,NA,NA,0.4472135955
Helipterum anthemoides,Rhodanthe anthemoides,TRUE,NA,1,NA,0--1,NA,1,0.2,NA,0.2,NA,0.2,NA,0.2,0.2
