original_name,aligned_name,accepted_name,suggested_name,genus,taxon_rank,taxonomic_dataset,taxonomic_status,scientific_name,aligned_reason,update_reason,number_of_collapsed_taxa
Calothamnus,Calothamnus sp. [Calothamnus],NA,Calothamnus sp. [Calothamnus],Calothamnus,genus,APC,genus accepted,NA,Exact match of the first word of the taxon name to an APC-accepted genus (2023-09-15),NA,NA
Calothamnus blepharospermus,Calothamnus blepharospermus,Calothamnus blepharospermus,Calothamnus blepharospermus,Calothamnus,species,APC,accepted,Calothamnus blepharospermus F.Muell.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Calothamnus formosus,Calothamnus formosus,Calothamnus formosus,Calothamnus formosus,Calothamnus,species,APC,accepted,Calothamnus formosus Hawkeswood,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Calothamnus quadrifidus acerosus,Calothamnus quadrifidus f. acerosus,Calothamnus quadrifidus,Calothamnus quadrifidus,Calothamnus,form,APC,accepted,Calothamnus quadrifidus R.Br.,Fuzzy match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2023-09-15),taxonomic synonym,NA
Calothamnus villosus,Calothamnus villosus,Calothamnus villosus,Calothamnus villosus,Calothamnus,species,APC,accepted,Calothamnus villosus R.Br.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Calotis multicaulis,Calotis multicaulis,Calotis multicaulis,Calotis multicaulis [alternative possible names: Calotis plumulifera (pro parte misapplied) | Calotis plumulifera (misapplied)],Calotis,species,APC,accepted,Calotis multicaulis (Turcz.) Druce,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,1
Calytrix,Calytrix sp. [Calytrix],NA,Calytrix sp. [Calytrix],Calytrix,genus,APC,genus accepted,NA,Exact match of the first word of the taxon name to an APC-accepted genus (2023-09-15),NA,NA
Calytrix brachychaeta,Calytrix brachychaeta,Calytrix brownii,Calytrix brownii,Calytrix,species,APC,accepted,Calytrix brownii (Schauer) Craven,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2023-09-15),taxonomic synonym,NA
Calytrix tetragona,Calytrix tetragona,Calytrix tetragona,Calytrix tetragona,Calytrix,species,APC,accepted,Calytrix tetragona Labill.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Camptostemon schultzii,Camptostemon schultzii,Camptostemon schultzii,Camptostemon schultzii,Camptostemon,species,APC,accepted,Camptostemon schultzii Mast.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Canavalia rosea,Canavalia rosea,Canavalia rosea,Canavalia rosea,Canavalia,species,APC,accepted,Canavalia rosea (Sw.) DC.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Cantharospermum reticulatum,Cantharospermum reticulatum,Cajanus reticulatus,Cajanus reticulatus,Cajanus,species,APC,accepted,Cajanus reticulatus (Aiton) F.Muell.,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2023-09-15),nomenclatural synonym,NA
Canthium odoratum,Canthium odoratum,Psydrax odorata,Psydrax odorata,Psydrax,species,APC,accepted,Psydrax odorata (G.Forst.) A.C.Sm. & S.P.Darwin,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2023-09-15),nomenclatural synonym,NA
Capparaceae,Capparaceae sp. [Capparaceae],NA,Capparaceae sp. [Capparaceae],NA,family,APC,family accepted,NA,Exact match of the first word of the taxon name to an APC-accepted family (2023-09-15),NA,NA
Capparis mitchellii,Capparis mitchellii,Capparis mitchellii,Capparis mitchellii,Capparis,species,APC,accepted,Capparis mitchellii Lindl.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Cardwellia sublimis,Cardwellia sublimis,Cardwellia sublimis,Cardwellia sublimis,Cardwellia,species,APC,accepted,Cardwellia sublimis F.Muell.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Carex,Carex sp. [Carex],NA,Carex sp. [Carex],Carex,genus,APC,genus accepted,NA,Exact match of the first word of the taxon name to an APC-accepted genus (2023-09-15),NA,NA
Carpobrotus,Carpobrotus sp. [Carpobrotus],NA,Carpobrotus sp. [Carpobrotus],Carpobrotus,genus,APC,genus accepted,NA,Exact match of the first word of the taxon name to an APC-accepted genus (2023-09-15),NA,NA
Cassia,Cassia sp. [Cassia],NA,Cassia sp. [Cassia],Cassia,genus,APC,genus accepted,NA,Exact match of the first word of the taxon name to an APC-accepted genus (2023-09-15),NA,NA
Cassia charlesiana,Cassia charlesiana,Senna charlesiana,Senna charlesiana,Senna,species,APC,accepted,Senna charlesiana (Symon) Randell,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2023-09-15),nomenclatural synonym,NA
Cassia circinnata,Cassia circinnata,Senna circinnata,Senna circinnata,Senna,species,APC,accepted,Senna circinnata (Benth.) Randell,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2023-09-15),basionym,NA
Cassia eremophila,Cassia eremophila,Senna artemisioides subsp. x coriacea,Senna artemisioides subsp. x coriacea,Senna,species,APC,accepted,Senna artemisioides subsp. x coriacea (Benth.) Randell,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2023-09-15),taxonomic synonym,NA
Cassia fistula,Cassia fistula,Cassia fistula,Cassia fistula,Cassia,species,APC,accepted,Cassia fistula L.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Cassia occidentalis var. schinifolia,Cassia occidentalis var. schinifolia,Senna barclayana,Senna barclayana,Senna,variety,APC,accepted,Senna barclayana (Sweet) Randell,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2023-09-15),nomenclatural synonym,NA
Cassia x luerssenii,Cassia x luerssenii,Senna glutinosa subsp. x luerssenii,Senna glutinosa subsp. x luerssenii,Senna,species,APC,accepted,Senna glutinosa subsp. x luerssenii (Domin) Randell,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2023-09-15),nomenclatural synonym,NA
Cassinia,Cassinia sp. [Cassinia],NA,Cassinia sp. [Cassinia],Cassinia,genus,APC,genus accepted,NA,Exact match of the first word of the taxon name to an APC-accepted genus (2023-09-15),NA,NA
Cassinia aculeata,Cassinia aculeata,Cassinia aculeata,Cassinia aculeata,Cassinia,species,APC,accepted,Cassinia aculeata (Labill.) R.Br.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Cassinia aureonitens,Cassinia aureonitens,Cassinia aureonitens,Cassinia aureonitens,Cassinia,species,APC,accepted,Cassinia aureonitens N.A.Wakef.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Cassinia compacta,Cassinia compacta,Cassinia compacta,Cassinia compacta [alternative possible names: Cassinia accipitrum (pro parte misapplied) | Cassinia straminea (pro parte misapplied) | Cassinia telfordii (pro parte misapplied) | Cassinia accipitrum (misapplied)],Cassinia,species,APC,accepted,Cassinia compacta F.Muell.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,1
Cassinia trinerva,Cassinia trinerva,Cassinia trinerva,Cassinia trinerva,Cassinia,species,APC,accepted,Cassinia trinerva N.A.Wakef.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
